category_name,category_url,product_url
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/tray-14-x-6-white-neo-distinction-dz/5769001C086.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/tray-14-x-8-white-neo-distinction-6pk/5769001C087.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/platter-14-5-x-8-x-1-5-white-organics-dist-6pk-case/5769002C641.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/platter-20-25-x-6-25-x-1-75-wht-orgnc-dist-3pk-case/5769002C640.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-spyro-11-x-8-3-4-white-embossed-oval-platter-case/5769032C997.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-spyro-13-x-10-1-4-white-embossed-oval-platter-case/5769032C996.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-10-5-8-white-embossed-mid-rim-plate-case/5769119C1231.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-10-white-embossed-mid-rim-plate-case/5769119C1232.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-11-1-4-white-embossed-gourmet-large-well-plate-case/5769119C1220.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-11-1-4-white-embossed-gourmet-medium-well-plate-case/5769119C1221.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-11-1-4-white-embossed-gourmet-small-well-plate-case/5769119C1222.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-11-3-4-white-embossed-mid-rim-plate-case/5769119C1230.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-11-white-embossed-gourmet-coupe-plate-case/5769119C1223.html
China Plates,https://www.webstaurantstore.com/50537/china-plates.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-13-x-10-1-4-white-oval-embossed-plate-case/5769119C1240.html
